"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"IN018103100","PATIALA, IN","1975-03-20",,,"66","86","57"
"IN018103100","PATIALA, IN","1975-03-24",,,"75",,"55"
"IN018103100","PATIALA, IN","1975-04-06",,,"80",,"72"
"IN018103100","PATIALA, IN","1975-04-08",,,"76","86",
"IN018103100","PATIALA, IN","1975-04-09",,,"77","86","59"
"IN018103100","PATIALA, IN","1975-04-12",,,"79","95",
"IN018103100","PATIALA, IN","1975-04-13",,,"78",,"63"
"IN018103100","PATIALA, IN","1975-04-14",,,"80","95",
"IN018103100","PATIALA, IN","1975-04-15",,,"73",,"63"
"IN018103100","PATIALA, IN","1975-04-17",,,"88","97","66"
"IN018103100","PATIALA, IN","1975-04-20",,,"90",,
"IN018103100","PATIALA, IN","1975-04-22",,,"79",,
"IN018103100","PATIALA, IN","1975-04-23",,,"83","99","72"
"IN018103100","PATIALA, IN","1975-04-27",,,"77","97","73"
"IN018103100","PATIALA, IN","1975-04-28",,,"79",,
"IN018103100","PATIALA, IN","1975-04-29",,,"84",,"66"
"IN018103100","PATIALA, IN","1975-05-01",,,"83",,
"IN018103100","PATIALA, IN","1975-05-02",,,"91",,"73"
"IN018103100","PATIALA, IN","1975-05-04",,,"82",,"66"
"IN018103100","PATIALA, IN","1975-05-08",,,"92","102","66"
"IN018103100","PATIALA, IN","1975-05-09",,,"94",,"77"
"IN018103100","PATIALA, IN","1975-05-10",,,"83",,
"IN018103100","PATIALA, IN","1975-05-11",,,"89",,
"IN018103100","PATIALA, IN","1975-05-12",,,"92","108","75"
"IN018103100","PATIALA, IN","1975-05-15",,,"98","102",
"IN018103100","PATIALA, IN","1975-05-16",,,"93",,"84"
"IN018103100","PATIALA, IN","1975-05-19",,,"90","100",
"IN018103100","PATIALA, IN","1975-05-22",,,"92","100",
"IN018103100","PATIALA, IN","1975-05-26",,,"94","102",
"IN018103100","PATIALA, IN","1975-05-27",,,"92",,"77"
"IN018103100","PATIALA, IN","1975-05-28",,,"97","108",
"IN018103100","PATIALA, IN","1975-05-29",,,"97",,
"IN018103100","PATIALA, IN","1975-05-30",,,"96","108","79"
"IN018103100","PATIALA, IN","1975-06-01",,,"88","99","75"
"IN018103100","PATIALA, IN","1975-06-02",,,"81",,"75"
"IN018103100","PATIALA, IN","1975-06-03",,,"82","102",
"IN018103100","PATIALA, IN","1975-06-04",,,"87",,"73"
"IN018103100","PATIALA, IN","1975-06-05",,,"90","102","75"
"IN018103100","PATIALA, IN","1975-06-06",,,"94","106","79"
"IN018103100","PATIALA, IN","1975-06-07",,,"87","100",
"IN018103100","PATIALA, IN","1975-06-11",,,"88",,"77"
"IN018103100","PATIALA, IN","1975-06-12",,,"90","106","79"
